Date,ABT,MMM,w_ABT,w_MMM,total_wealth  ,rw_ABT,rw_MMM,qty_ABT,qty_MMM,total_rebalanced
2010-10-01,21.601771,75.360557,49986.498094,49964.049291,99950.547385,49986.498094,49964.049291,2314.0,663.0,100000.0
2010-10-04,21.573017,74.569275,49919.961338,49439.429325,99359.390663,49919.961338,49439.429325,2304.0,666.0,99408.843278
2010-10-05,21.807188,76.427059,50461.833032,50671.140117,101132.973149,50243.761152,50900.421294,2320.0,661.0,101185.657406
2010-10-06,21.766105,77.312945,50366.76697,51258.482535,101625.249505,50497.3636,51103.856645,2335.0,657.0,101675.915492
2010-10-07,21.601771,76.461463,49986.498094,50693.949969,100680.448063,50440.135285,50235.181191,2331.0,658.0,100732.771928
2010-10-08,21.696268,76.685087,50205.164152,50842.212681,101047.376833,50574.000708,50458.787246,2329.0,659.0,101100.189027
2010-10-11,21.696268,75.902407,50205.164152,50323.295841,100528.459993,50530.608172,50019.686213,2318.0,662.0,100584.402907
2010-10-12,21.983855,75.8164,50870.64047,50266.2732,101136.91367,50958.57589,50190.4568,2301.0,667.0,101194.092939
2010-10-13,22.029415,76.667882,50976.06631,50830.805766,101806.872076,50689.683915,51137.477294,2312.0,664.0,101866.864993
2010-10-14,22.041847,76.607676,51004.833958,50790.889188,101795.723146,50960.750264,50867.496864,2310.0,664.0,101855.630993
2010-10-15,22.025278,76.667882,50966.493292,50830.805766,101797.299058,50878.39218,50907.473648,2312.0,664.0,101857.333387
2010-10-18,22.2324,77.115129,51445.7736,51127.330527,102573.104127,51401.3088,51204.445656,2308.0,665.0,102633.171459
2010-10-19,21.901005,76.160435,50678.92557,50494.368405,101173.293975,50547.51954,50646.689275,2311.0,664.0,101233.440289
2010-10-20,21.714596,76.951711,50247.575144,51018.984393,101266.559537,50182.431356,51095.936104,2333.0,658.0,101328.056354
2010-10-21,21.888574,77.880603,50650.160236,51634.839789,102285.000025,51066.043142,51245.436774,2337.0,657.0,102345.157964
2010-10-22,21.772589,77.785993,50381.770946,51572.113359,101953.884305,50882.540493,51105.397401,2342.0,655.0,102011.942249
2010-10-25,21.751877,78.181631,50333.843378,51834.421353,102168.264731,50942.895934,51208.968305,2349.0,653.0,102222.577635
2010-10-26,21.826438,77.811795,50506.377532,51589.220085,102095.597617,51270.302862,50811.102135,2340.0,656.0,102156.218516
2010-10-27,21.391483,77.725788,49499.891662,51532.197444,101032.089106,50056.07022,50988.116928,2362.0,650.0,101082.003224
2010-10-28,21.437052,73.16734,49605.338328,48509.94642,98115.284748,50634.316824,47558.771,2291.0,671.0,98226.646002
2010-10-29,21.258931,72.43627,49193.166334,48025.24701,97218.413344,48704.210921,48604.73717,2289.0,671.0,97328.022821
